ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
45286-001,Supporting Evaluation Capacity Development and Networking in Selected Developing Member Countries,Regional,Sovereign,Technical Assistance,Closed,8023,23/12/2011,"400,000.00",Regional,Public sector management,Public administration,,,,Independent Evaluation Department,Asian Development Bank,"Rauniyar, Ganesh P."
45288-001,Punjab Development Finance Program,India,Sovereign,Technical Assistance,Closed,8232,22/11/2012,"290,000.00",,Public sector management,Public expenditure and fiscal management,,,,South Asia Department,"Finance Department, Government of Punjab","Mukhopadhyay, Hiranya"
45288-002,Punjab Development Finance Program,India,Sovereign,Loan | Technical Assistance,Closed,3187 | 8759,19/11/2014,"200,500,000.00",,Public sector management,Public expenditure and fiscal management,C,C,C,South Asia Department,"Finance Department, Government of Punjab","Das, Sanchita Basu"
45291-001,Sovereign Debt Crises in the US and the Eurozone: Potential Regional Impacts on Asia,Regional,Sovereign,Technical Assistance,Closed,7930,22/11/2011,"225,000.00",Regional,Public sector management,Economic affairs management,,,,Economic Research and Development Impact Department,Asian Development Bank,"Menon, Jayant"
45292-001,Strengthening Evaluation of Poverty Reduction Innovations,Regional,Sovereign,Technical Assistance,Closed,8003,16/12/2011,"950,000.00",Regional,Finance | Public sector management,Inclusive finance | Insurance and contractual savings | Small and medium enterprise finance and leasing | Economic affairs management | Social protection initiatives,,,,East Asia Department,Asian Development Bank,"Lazaro, Dorothea"
45296-003,Davao Sustainable Urban Transport Project,Philippines,Sovereign,Technical Assistance,Closed,8195,19/10/2012,0,,Transport,Urban public transport,,,,Southeast Asia Department,Department of Transportation and Communications,"Leather, James"
45296-005,Davao Public Transport Modernization Project,Philippines,Sovereign,Technical Assistance,Closed,8941,10/08/2015,"1,303,000.00",,Transport,Urban public transport,,,,Southeast Asia Department,Department of Transportation & Communications,"Kimura, Shuji"
45297-002,Thailand Intercity Motorway Project,Thailand,Sovereign,Technical Assistance,Closed,8219,20/11/2012,"225,000.00",,Transport,Road transport (non-urban),,,,Southeast Asia Department,Ministry of Finance,"Leung, Kang Hang"
45298-001,Strengthening Urban Water Supply Regulation,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,7919,16/11/2011,"500,000.00",,Water and other urban infrastructure and services,Urban water supply,,,,Southeast Asia Department,Ministry of Public Works and Transport,"Jain, Anupma"
45299-001,Water Supply and Sanitation Sector Project - Additional Financing,Armenia,Sovereign,Loan,Closed,2860,12/04/2012,"40,000,000.00","Aghavnatun, Akunk', Alaverdi, Amberd, Aragats, Armaviri Marz, Art'ik, Aygeshat, Berd, Dasht, Doghs, Echmiadzin, Gavarr, Hayt'agh, Hrazdan, Hushakert, Jermuk, Kapan, Lernamerts, Lorru Marz, Martuni, Meghri, Musalerr, Noratus, Noyemberyan, Sarukhan, Sevan, Shahumyan, Shiraki Marz, Step'anavan, Tashir, Tavushi Marz, Tsaghkadzor, Tsaghkalanj, Vayk', Vedi, Zarrit'ap'",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban water supply",B,C,B,Central and West Asia Department,State Committee for Water Economy,"Llorens, Cesar"
45301-001,Water Supply and Sanitation Sector Project,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,8150,03/09/2012,"800,000.00",,Water and other urban infrastructure and services,Urban water supply,,,,Southeast Asia Department,Ministry of Public Works and Transport,"Jain, Anupma"
45303-001,Rural Energy Project (formerly Rural Energy Pilot Project),Cambodia,Sovereign,Grant,Closed,0336,15/01/2013,0,,Energy,,B,C,B,Southeast Asia Department,Electricite Du Cambodge,"Tharakan, Pradeep J."
45306-001,Takhiatash Power Plant Efficiency Improvement Project,Uzbekistan,Sovereign,Loan,Closed,3141,15/07/2014,"300,000,000.00",,Energy,Conventional energy generation | Energy efficiency and conservation | Energy sector development and institutional reform,A,C,B,Central and West Asia Department,Joint Stock Company Takhiatash Thermal Power Plant,"Musaev, Shokhimardon"
45306-002,Takhiatash Power Plant Efficiency Improvement Project,Uzbekistan,Sovereign,Technical Assistance,Closed,8142,16/08/2012,"1,200,000.00",,Energy,Conventional energy generation | Energy efficiency and conservation | Energy sector development and institutional reform,,,,Central and West Asia Department,Joint-Stock Company Uzbekenergo,"Mitsuhashi, Keiju"
45310-001,Enhancing Knowledge Sharing and South-South Cooperation between Asia and Latin America,Regional,Sovereign,Technical Assistance,Closed,7968,27/10/2011,"1,000,000.00",Regional,Energy | Industry and trade | Public sector management | Transport | Water and other urban infrastructure and services,Energy efficiency and conservation | Industry and trade sector development | Trade and services | Public expenditure and fiscal management | Urban public transport | Other urban services,,,,"Strategy, Policy, and Partnerships Department",Asian Development Bank,"Nakamitsu, Kiyoshi"
45313-001,Enhancing Strategic Alignment in the Thailand-ADB Partnership,Thailand,Sovereign,Technical Assistance,Closed,7863,15/09/2011,"225,000.00",,Finance | Public sector management | Transport | Water and other urban infrastructure and services,Finance sector development | Inclusive finance | Money and capital markets | Economic affairs management | Rail transport (non-urban) | Road transport (non-urban) | Urban water supply,,,,Southeast Asia Department,Asian Development Bank,"Attapich, Luxmon"
45317-001,Support for the Third Primary Education Development Project,Bangladesh,Sovereign,Technical Assistance,Closed,8085,29/05/2012,"900,000.00",,Education,Education sector development,,,,South Asia Department,Ministry of Primary and Mass Education,"Ahad, Faiza"
45320-001,Promoting Partnerships and Innovation in Poor and Underserved Communities,Philippines,Sovereign,Grant,Closed,9162,09/04/2012,0,,Multisector,,B,C,C,Southeast Asia Department,National Housing Authority (NHA),"Thomas, Elaine C."
45326-001,Support for Regional Multisector Investment Framework for Greater Mekong Subregion Development (Phase 1),Regional,Sovereign,Technical Assistance,Closed,8042,15/12/2011,"1,500,000.00",Regional,"Agriculture, natural resources and rural development | Industry and trade | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Industry and trade sector development | Small and medium enterprise development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Nguyen, Cuong Minh"
45327-001,Improving Financial Inclusion in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Closed,8250,06/12/2012,"350,000.00",Regional,Finance,Finance sector development,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Chatterjee, Arup Kumar"
45328-001,Enhancing ADB's Engagement in Fragile and Conflict-Affected Situations,Regional,Sovereign,Technical Assistance,Closed,8065,29/03/2012,"800,000.00",Regional,Public sector management,Decentralization | Economic affairs management | Public administration,,,,Pacific Department,Asian Development Bank,"Safran, Patrick"
45334-001,Developing the Services Sector as an  Engine for Inclusive Growth,Regional,Sovereign,Technical Assistance,Closed,7898,25/10/2011,0,Regional,Education | Finance | Health | Industry and trade | Information and communication technology | Transport,"Education sector development | Finance sector development | Health system development | Trade and services | ICT strategy and policy, and capacity development | Transport policies and institutional development",,,,Economics and Research Department,Asian Development Bank,"Park, Donghyun"
45335-001,Broadening the Scope of Asian Bond Markets Initiative under ASEAN+3,Regional,Sovereign,Technical Assistance,Closed,7911,11/11/2011,0,Regional,Finance,Money and capital markets,,,,Office of Regional Economic Integration,Asian Development Bank,"Lee, Seung Jae"
45338-001,"Disbursement, Loan Accounting/Servicing Training and Seminars for DMCs",Regional,Sovereign,Technical Assistance,Closed,7897,11/10/2011,"225,000.00",Regional,Public sector management,Economic affairs management,,,,Controller's Department,Asian Development Bank,"Sefesi, Viliami T."
45339-001,Second Kathmandu Valley Water Supply Improvement Project,Nepal,Sovereign,Technical Assistance,Closed,9171,15/09/2016,"2,450,000.00",Kathmandu Valley,Water and other urban infrastructure and services,"Urban policy, institutional and capacity development",,,,South Asia Department,Asian Development Bank,"Dasgupta, Saugata"
45341-001,Maharashtra Solar Park and Green Grid Development Investment Program,India,Sovereign,Technical Assistance,Closed,8062,20/03/2012,"350,000.00",,Energy,Electricity transmission and distribution | Renewable energy generation - solar,,,,South Asia Department,Maharashtra State Power Generation Company Limited,"Sugimoto, Takayuki"
45348-001,Capacity Building of Anti Corruption Commission,Bangladesh,Sovereign,Technical Assistance,Closed,8028,25/12/2011,0,,Public sector management,Economic affairs management,,,,South Asia Department,Asian Development Bank,"Ahmed, Firoz"
45349-001,Promotion of Capital Market Instruments for Infrastructure Financing in the ASEAN,Regional,Sovereign,Technical Assistance,Closed,7969,06/12/2011,"150,000.00",Regional,Finance,Money and capital markets,,,,Southeast Asia Department,Asian Development Bank,"Cyhn, Jin W."
45353-001,Developing Water Resources Sector Strategies in Central and West Asia,Regional,Sovereign,Technical Assistance,Closed,8015,06/11/2012,"1,600,000.00",Regional,"Agriculture, natural resources and rural development",Irrigation,,,,Central and West Asia Department,Asian Development Bank,"Ali, Akhtar"
45354-001,Building Climate Resilience in the Pyanj River Basin,Tajikistan,Sovereign,Technical Assistance,Closed,7980,14/12/2011,"450,000.00",,"Agriculture, natural resources and rural development | Finance","Agricultural policy, institutional and capacity development | Irrigation | Land-based natural resources management | Water-based natural resources management | Inclusive finance | Insurance and contractual savings",,,,Central and West Asia Department,Agency for Land Reclamation and Irrigation,"Suga, Manami"
45354-002,Building Climate Resilience in the Pyanj River Basin,Tajikistan,Sovereign,Grant,Closed,0352,25/07/2013,0,,"Agriculture, natural resources and rural development",,B,C,B,Central and West Asia Department,Agency for Land Reclamation and Irrigation,"Fazilova, Ganjina I."
45355-001,Regional Forum on Public Sector Accounting,Regional,Sovereign,Technical Assistance,Closed,7903,02/11/2011,0,Regional,Public sector management,Public expenditure and fiscal management,,,,Controller's Department,Asian Development Bank,"Matsubayashi, Rie"
45356-001,Sindh and Balochistan Flood Emergency Response,Pakistan,Sovereign,Grant,Closed,0266,24/10/2011,"3,000,000.00",,Public sector management,Social protection initiatives,,,,Central and West Asia Department,Ministry of Economic Affairs and Statistics,"Shafi, Mian S."
45366-003,Solid Waste Management Improvement Project,Uzbekistan,Sovereign,Technical Assistance,Closed,8004,14/12/2011,"700,000.00",,Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban solid waste management",,,,Central and West Asia Department,Ministry of Economy and Finance,"Prebich, Mark A."
45370-001,Strategic Policy Actions for Successful Structural Transformation and Inclusive Growth,Philippines,Sovereign,Technical Assistance,Closed,7912,24/10/2011,"225,000.00",,Industry and trade,Industry and trade sector development,,,,Southeast Asia Department,Asian Development Bank,"Balbosa, Joven Z."
45371-001,Madhya Pradesh Irrigation Efficiency Investment Program,India,Sovereign,Technical Assistance,Closed,9051,15/12/2015,"1,000,000.00",Madhya Pradesh,"Agriculture, natural resources and rural development | Energy",Agricultural production | Irrigation | Renewable energy generation - solar,,,,South Asia Department,Water Resources Department Madhya Pradesh,"Cauchois, Arnaud M."
45373-001,Promoting Financially Sustainable Regulatory Framework for Water Tariff in South Asia,Regional,Sovereign,Technical Assistance,Closed,8036,22/12/2011,"1,000,000.00",Regional,Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban water supply",,,,South Asia Department,Asian Development Bank,"Castro-Wooldridge, Vivian"
45374-001,Thailand Flooding 2011,Thailand,Sovereign,Grant,Closed,0269,17/11/2011,"3,000,000.00",Nation-wide,Public sector management,Social protection initiatives,,,,Southeast Asia Department,Ministry of Finance,"Attapich, Luxmon"
45375-001,Improving Employment Outcomes,Regional,Sovereign,Technical Assistance,Closed,7951,08/12/2011,"800,000.00",Regional,Education,Secondary | Technical and vocational education and training | Tertiary,,,,Economic Research and Development Impact Department,Asian Development Bank,"Taniguchi, Kiyoshi"
45376-001,Capacity Building for Portfolio Management,Bangladesh,Sovereign,Technical Assistance,Closed,8426,13/08/2013,"850,000.00",Nation-wide,Public sector management,Economic affairs management,,,,South Asia Department,Ministry of Finance,"Haque, Mohammed Sayeedul"
45379-001,Support for ASEAN Leaders Forum on Human Resource Development Towards an Integrated ASEAN Community,Regional,Sovereign,Technical Assistance,Closed,7957,07/12/2011,"225,000.00",Regional,Education,Education sector development,,,,Southeast Asia Department,Asian Development Bank,"Hirosato, Yasushi"
45380-001,Support to Jawaharlal Nehru National Solar Mission,India,Sovereign,Technical Assistance,Closed,7922,18/11/2011,"225,000.00",,Energy,Renewable energy generation - solar,,,,South Asia Department,Ministry of New and Renewable Energy (MNRE),"Fukushima, Satoshi"
45384-001,Provision of Environment Technical Services,Regional,Sovereign,Technical Assistance,Closed,8044,15/12/2011,"97,000.00",Regional,"Agriculture, natural resources and rural development | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Land-based natural resources management | Water-based natural resources management | Law and judiciary | Transport policies and institutional development | Urban solid waste management | Urban water supply",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kunzer, Mark"
45386-001,Managing for Development Results in the Transport Sector of Kazakhstan,Kazakhstan,Sovereign,Technical Assistance,Closed,8676,30/06/2014,"225,000.00",,Public sector management | Transport,Public expenditure and fiscal management | Road transport (non-urban) | Urban roads and traffic management,,,,Central and West Asia Department,Department for Budget Investments and PPP Development under the Ministry of National Economy,"Mukhamedyarova, Aliya"
45387-001,Strengthening Capacity of Developing Member Countries in Resource Mobilization and Implementation of Cofinanced Projects,Regional,Sovereign,Technical Assistance,Closed,8031,13/12/2011,"500,000.00",Regional,Public sector management,Public administration,,,,Office of Cofinancing Operations,Asian Development Bank,Toshimasa Dojima
45389-001,Second Road Network Development Investment Program,Azerbaijan,Sovereign,Loan,Closed,0071,04/10/2012,"500,000,000.00",,Transport,,,,,Central and West Asia Department,,"Sluijter, Jurgen"
45389-002,Second Road Network Development Investment Program - Tranche 1,Azerbaijan,Sovereign,Loan,Closed,2921,25/10/2012,"250,000,000.00","Dzhalilabad, Jalilabad District, Masally, Masally District",Transport,Road transport (non-urban),A,C,A,Central and West Asia Department,State Agency of Azerbaijan Automobile Roads,"Faraj, Huseynbeyov"
45389-003,Second Road Network Development Program,Azerbaijan,Sovereign,Technical Assistance,Closed,8071,13/04/2012,"225,000.00",,Transport,Road transport (non-urban),,,,Central and West Asia Department,Ministry of Transport,"Bathula, Balabhaskara Reddy"
45389-004,Second Road Network Development Investment Program - Tranche 2,Azerbaijan,Sovereign,Loan,Closed,3144,29/07/2014,"250,000,000.00",,Transport,Road transport (non-urban) | Transport policies and institutional development,A,C,B,Central and West Asia Department,State Agency of Azerbaijan Automobile Roads,"Sluijter, Jurgen"
45391-001,Cambodia Flooding 2011: Humanitarian Assistance Project,Cambodia,Sovereign,Grant,Closed,0268,02/11/2011,"3,000,000.00",,"Agriculture, natural resources and rural development | Public sector management | Transport",Agricultural production | Irrigation | Social protection initiatives | Road transport (non-urban),,,,Southeast Asia Department,Ministry of Economy and Finance,"Hem, Chanthou"
45392-001,Strengthening Capacity for Enhanced Operational Effectiveness,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,8047,27/12/2011,"205,000.00",,Public sector management,Public administration,,,,Southeast Asia Department,Asian Development Bank,"Phanouvong, Sisavanh"
45395-001,Strengthened Public Financial Management Program,Tuvalu,Sovereign,Grant,Closed,0318,22/11/2012,"2,350,000.00",Nation-wide,Public sector management,Economic affairs management,C,C,C,Pacific Department,Ministry of Finance and Economic Development,"Tora, Laisiasa Natakubu"
45396-001,South Asia Economic Integration Partnership,Regional,Sovereign,Technical Assistance,Closed,0010,07/05/2012,0,Regional,Energy | Industry and trade | Information and communication technology,Energy sector development and institutional reform | Industry and trade sector development | ICT industries and ICT-enabled services,,,,South Asia Department,Asian Development Bank,"Jeong, Hoe Yun"
45396-009,South Asia Economic Integration Partnership - Power Trading in Bangladesh and Nepal (Subproject 1),Regional,Sovereign,Technical Assistance,Closed,8658,29/05/2014,0,Regional,Energy,Electricity transmission and distribution | Energy sector development and institutional reform,,,,South Asia Department,ADB POHQ,"Cabral Wijayatunga, Priyantha"
45397-001,Strengthening Knowledge Solutions for the Cambodia-ADB Partnership,Cambodia,Sovereign,Technical Assistance,Closed,8011,05/12/2011,"225,000.00",,Public sector management,Economic affairs management,,,,Southeast Asia Department,Asian Development Bank,"Hansen, Jan"
45397-002,Strengthening Knowledge Solutions II - Supporting the Government's Planning Cycle,Cambodia,Sovereign,Technical Assistance,Closed,8347,03/04/2013,"225,000.00",Nation-wide,Public sector management,Economic affairs management,,,,Southeast Asia Department,Asian Development Bank,"Hansen, Jan"
45398-003,Solid Waste Management Improvement Investment Program,Armenia,Sovereign,Technical Assistance,Closed,7991,14/12/2011,"700,000.00",,Water and other urban infrastructure and services,Urban solid waste management,,,,Central and West Asia Department,Ministry of Territorial Administration and Development,"Ancora, Maria Pia"
45401-001,Support for Thailand's Flood Management Knowledge Forum,Thailand,Sovereign,Technical Assistance,Closed,7961,09/12/2011,"225,000.00",,Water and other urban infrastructure and services,"Urban flood protection | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,Chalita Kladpetch
45403-001,"Strengthening Economic Policy and Planning: Supporting the Implementation of the  National Development Plan, 2012-2015",Marshall Islands,Sovereign,Technical Assistance,Closed,8061,20/03/2012,"225,000.00",,Public sector management,Economic affairs management,,,,Pacific Department,"Ministry of Finance, Banking and Postal Services","Melei, Maria"
45406-001,Low Carbon Agricultural Support Project,Viet Nam,Sovereign,Loan,Closed,2968,12/12/2012,"74,000,000.00","Tinh Bac Giang, Tinh Ben Tre, Tinh Binh Dinh, Tinh Ha Tinh, Tinh Lao Cai, Tinh Nam Dinh, Tinh Phu Tho, Tinh Soc Trang, Tinh Son La, Tinh Tien Giang","Agriculture, natural resources and rural development | Energy | Finance","Agricultural policy, institutional and capacity development | Renewable energy generation - biomass and waste | Infrastructure finance and investment funds",B,B,C,Southeast Asia Department,Ministry of Agriculture and Rural Development,"Vu, Chau N."
45410-001,Consolidation of Knowledge on Governance Initiatives,Bangladesh,Sovereign,Technical Assistance,Closed,8032,21/12/2011,"225,000.00",,Public sector management,Law and judiciary | Public administration,,,,South Asia Department,Asian Development Bank,"Bhatta, Gambhir"
45412-001,Strengthening South Asian Developing Member Countries' Capacity and Coordination for Mainstreaming Green Growth and Climate Change Resilience,Regional,Sovereign,Technical Assistance,Closed,8022,23/12/2011,"225,000.00",Regional,"Agriculture, natural resources and rural development | Energy | Transport | Water and other urban infrastructure and services",Fishery | Land-based natural resources management | Rural flood protection | Electricity transmission and distribution | Energy efficiency and conservation | Energy sector development and institutional reform | Energy utility services | Large hydropower generation | Renewable energy generation - small hydro | Road transport (non-urban) | Transport policies and institutional development | Urban public transport | Other urban services | Urban sewerage | Urban water supply,,,,South Asia Department,Asian Development Bank,"Ahmed, AKM Mahfuzuddin"
45414-001,Support for Strategic Assessment of the Kyrgyz Economy to Promote Inclusive Growth,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,7999,14/12/2011,"225,000.00",,Public sector management,Economic affairs management,,,,Central and West Asia Department,Ministry of Economy,"Hiraoka, Rie"
45415-001,Urban Development in Secondary Cities,Armenia,Sovereign,Technical Assistance,Closed,8361,29/04/2013,0,,Energy | Industry and trade | Information and communication technology | Transport | Water and other urban infrastructure and services,"Energy utility services | Trade and services | ICT industries and ICT-enabled services | Transport policies and institutional development | Urban public transport | Other urban services | Urban policy, institutional and capacity development | Urban slum development | Urban solid waste management",,,,Central and West Asia Department,Ministry of Territorial Administration and Emergency Situations,"Llorens, Cesar"
45416-001,Strengthening Capacity for Operations Management,Maldives,Sovereign,Technical Assistance,Closed,8070,04/04/2012,"825,000.00",,Public sector management,Public expenditure and fiscal management,,,,South Asia Department,Ministry of Finance (formerly Ministry of Finance and Treasury),"Nakane, Masato"
45418-003,Gujarat Solar and Smart Grid Development Investment Program,India,Sovereign,Technical Assistance,Closed,8055,05/03/2012,"350,000.00",,Energy,Electricity transmission and distribution | Energy efficiency and conservation | Renewable energy generation - solar,,,,South Asia Department,Gujarat Energy Transmission Corporation Limited,"Shiihara, Takeshi"
45419-001,SASEC Subregional Energy Efficiency Initiative,Regional,Sovereign,Technical Assistance,Closed,8025,21/12/2011,"225,000.00",Regional,Energy,Energy efficiency and conservation,,,,South Asia Department,Asian Development Bank,"Limbu, Tika R."
45421-001,Asia-Pacific Trade Facilitation Forum 2012,Regional,Sovereign,Technical Assistance,Closed,8021,19/12/2011,"225,000.00",Regional,Industry and trade,Trade and services,,,,South Asia Department,Asian Development Bank,"Nguyen, Cuong Minh"
45423-001,Capacity Building for Microinsurance,Philippines,Sovereign,Technical Assistance,Closed,8258,11/12/2012,0,,Finance,Insurance and contractual savings,,,,Southeast Asia Department,Department of Finance,"Aoki, Hiroyuki"
45424-001,Support for Public-Private Partnerships (PPP) in Cambodia,Cambodia,Sovereign,Technical Assistance,Closed,8013,16/12/2011,"225,000.00",,Public sector management,Public expenditure and fiscal management,,,,Southeast Asia Department,Ministry of Economy and Finance,"Hansen, Jan"
45430-001,"Support for the Preparation of Harmonized Regional Cross-Sector and Thematic Assessments, Strategies, and Roadmaps for a Regional Cooperation Strategy for Southeast Asia, 2013 - 2015",Regional,Sovereign,Technical Assistance,Closed,8039,27/12/2011,"225,000.00",Regional,Energy | Finance | Industry and trade | Transport | Water and other urban infrastructure and services,"Energy sector development and institutional reform | Trade finance | Trade and services | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Bando, Shunsuke"
45431-001,Tropical Storm Washi (Sendong) Project,Philippines,Sovereign,Grant,Closed,0279,22/12/2011,"3,000,000.00","Cagayan de Oro, Dumaguete City, Iligan City, Valencia",Public sector management,Social protection initiatives,,,,Southeast Asia Department,Department of Finance,"Balbosa, Joven Z."
45432-001,Roads Improvement Project,Tajikistan,Sovereign,Technical Assistance,Closed,8052,08/02/2012,"800,000.00",,Transport,Road transport (non-urban),,,,Central and West Asia Department,Ministry of Transport,"Wu, Zheng"
45432-002,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement Project,Tajikistan,Sovereign,Grant | Loan,Closed,0301 | 8259,11/09/2012,"100,000,000.00","Aini District, Ayni, Khushikat, Panjakent, Panjakent District, Sarazm",Transport,Road transport (non-urban),B,C,B,Central and West Asia Department,Ministry of Transport,"Nuriddinov, Farrukh Sharofiddinovich"
45433-001,Structuring the Public-Private Earthquake Insurance Pool in the Philippines,Philippines,Sovereign,Technical Assistance,Closed,8037,27/12/2011,"225,000.00",,Finance,Insurance and contractual savings,,,,Southeast Asia Department,Asian Development Bank,"Schuster, Stephen R."
45433-002,Structuring a Public-Private Earthquake Insurance Pool in the Philippines,Philippines,Sovereign,Technical Assistance,Closed,8315,20/12/2012,"500,000.00",,Finance,Insurance and contractual savings,,,,Southeast Asia Department,Insurance Commission,"Varkay, Madeleine"
45436-001,Building Capacity for Climate Resilience,Tajikistan,Sovereign,Technical Assistance,Closed,8090,05/06/2012,0,,"Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Irrigation | Secondary | Energy sector development and institutional reform | Road transport (non-urban) | Urban water supply",,,,Central and West Asia Department,Committee for Environmental Protection,"Rive, Nathan A."
45500-001,Capacity Development of Partner Banks in Microfinance Wholesale Lending,Regional,Sovereign,Technical Assistance,Closed,7765,29/12/2010,"225,000.00",Regional,Finance,Inclusive finance,,,,East Asia Department,Asian Development Bank,"Lee, Seung Min"
45501-001,Public Finance and Financial Management Reforms,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7896,20/10/2011,"1,200,000.00",,Finance | Public sector management,Finance sector development | Insurance and contractual savings | Money and capital markets | Decentralization | Economic affairs management | Public expenditure and fiscal management,,,,East Asia Department,Ministry of Finance,"Zhang, Yuebin"
45502-001,Promoting Private Investment for Social and Economic Development in Shaanxi Province,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8082,25/05/2012,"400,000.00",,Finance,Infrastructure finance and investment funds,,,,East Asia Department,The Foreign Loan Support Project Management Office,"An, Bo"
45503-001,Developing a Legal System for the Credit Market,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7835,18/07/2011,"450,000.00",,Finance | Public sector management,Banking systems and nonbank financial institutions | Finance sector development | Inclusive finance | Law and judiciary,,,,East Asia Department,People's Bank of China,"Giannetto, Giacomo G."
45504-001,Capacity Building on Statistical Competence for County-level Financial Institutions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8099,29/06/2012,"400,000.00",,Finance,Finance sector development,,,,East Asia Department,People's Bank of China,"Giannetto, Giacomo G."
45506-001,Gansu Jiuquan Integrated Urban Environment Improvement Project,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7847,18/08/2011,"750,000.00",,Water and other urban infrastructure and services,"Urban policy, institutional and capacity development",,,,East Asia Department,Jiuquan Municipal Government,"Penjor, Sangay"
45506-002,Gansu Jiuquan Integrated Urban Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Closed,3003,14/06/2013,"100,000,000.00",Jiuquan,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services","Forestry | Urban roads and traffic management | Urban policy, institutional and capacity development | Urban sewerage",B,C,A,East Asia Department,Jiuquan Municipal Government,"Wang, Lan"
45507-001,Yunnan Chuxiong Urban Environment Improvement Project,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7891,17/10/2011,"700,000.00",,Transport | Water and other urban infrastructure and services,Road transport (non-urban) | Other urban services,,,,East Asia Department,Chuxiong Prefecture Government,"Ishii, Satoshi"
45507-003,Yunnan Chuxiong Urban Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Closed,3115,21/03/2014,"150,000,000.00",,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Water-based natural resources management | Urban roads and traffic management | Urban sanitation | Urban solid waste management,A,B,A,East Asia Department,Chuxiong Prefecture Government,"Chu, Chenglong"
45508-002,Xinjiang Integrated Urban Development Project,"China, People's Republic of",Sovereign,Loan,Closed,3017,28/08/2013,"200,000,000.00","Karamay, Kuytun",Transport | Water and other urban infrastructure and services,"Urban roads and traffic management | Other urban services | Urban flood protection | Urban policy, institutional and capacity development | Urban sewerage | Urban water supply",B,B,A,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Wang, Lan"
45509-001,Chongqing Urban and Rural Infrastructure Development II Project,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7858,08/09/2011,"800,000.00",,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Irrigation | Road transport (non-urban) | Urban water supply,,,,East Asia Department,Chongqing Municipal Government,"Ishii, Satoshi"
45509-002,Chongqing Urban-Rural Infrastructure Development Demonstration II Project,"China, People's Republic of",Sovereign,Loan,Closed,3022,20/09/2013,"150,000,000.00","Cangping, Chengkou Xian, Damu, Fuling Qu, Huangshui, Jiaoshi, Juandong, Rongchang Xian, Shizhu Tujiazu Zizhixian, Shuanghezhen, Wanzhou, Wulong Xian, Youyang Tujiazu Miaozu Zizhixian",Transport | Water and other urban infrastructure and services,"Road transport (non-urban) | Urban flood protection | Urban policy, institutional and capacity development | Urban water supply",A,B,A,East Asia Department,Chongqing Municipal Government,"Dawda, Dharmesh"
45510-001,Strategies for Green Jobs Creation and Promotion,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7906,08/11/2011,"400,000.00",,Public sector management,Economic affairs management,,,,East Asia Department,Ministry of Human Resources and Social Security,"Shakil, Sofia"
45511-001,Technical and Vocational Education and Training Demonstration Project,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7978,09/12/2011,"1,100,000.00",,Education,Technical and vocational education and training,,,,East Asia Department,Hunan Education Department,"Maruyama, Asako"
